line,order_id,video_name,camera_id,init_box,init_time,ai_tracker_picker_found,ai_tracker_last_bbox,ai_tracker_last_time,ai_tracker_stalls,agent_last_bbox,agent_last_time,agent_stalls
766,10269206,Videos/20240117/10269206/ai/C29_S20240117105149300_E20240117105249300.mp4,29,"{""x"": 452.0, ""y"": 110.0, ""height"": 45.0, ""width"": 33.0}",2024-01-17 10:51:54.300000+00:00,TRUE,"{""x"": 479.1400146484375, ""y"": 27.81761932373047, ""height"": 31.710296630859375, ""width"": 44.67616271972656}",2024-01-17 10:52:49.200000+00:00,"[{""time"": ""2024-01-17 10:51:49.400000+00:00"", ""center"": {""x"": 522.4127416992187, ""y"": 162.9019709777832}}, {""time"": ""2024-01-17 10:52:02.800000+00:00"", ""center"": {""x"": 526.9542938232422, ""y"": 160.69888038635253}}, {""time"": ""2024-01-17 10:52:30.600000+00:00"", ""center"": {""x"": 463.05918090820313, ""y"": 69.88460971832275}}, {""time"": ""2024-01-17 10:52:43.400000+00:00"", ""center"": {""x"": 498.0981100463867, ""y"": 51.3571728515625}}]","{""x"": 441.0, ""y"": 44.0, ""height"": 37.0, ""width"": 42.0}",2024-01-17 10:52:49.300000+00:00,"[{""time"": ""2024-01-17 10:52:06.600000+00:00"", ""center"": {""x"": 565.832, ""y"": 162.395}}, {""time"": ""2024-01-17 10:52:19+00:00"", ""center"": {""x"": 556.832, ""y"": 156.395}}, {""time"": ""2024-01-17 10:52:39.200000+00:00"", ""center"": {""x"": 515.332, ""y"": 48.645}}, {""time"": ""2024-01-17 10:52:46.800000+00:00"", ""center"": {""x"": 522.082, ""y"": 50.645}}]"
767,10263914,Videos/20240117/10263914/ai/C7_S20240117085958000_E20240117090058000.mp4,7,"{""x"": 350.0, ""y"": 59.0, ""height"": 50.0, ""width"": 15.0}",2024-01-17 09:00:03+00:00,FALSE,,,,"{""x"": 251.0, ""y"": 52.0, ""height"": 23.0, ""width"": 18.0}",2024-01-17 09:00:06.700000+00:00,[]
768,10268872,Videos/20240117/10268872/ai/C3_S20240117104111188_E20240117104211188.mp4,3,"{""x"": 46.0, ""y"": 60.0, ""height"": 133.0, ""width"": 61.0}",2024-01-17 10:41:16.188000+00:00,TRUE,"{""x"": 143.86146545410156, ""y"": 1.9773216247558594, ""height"": 37.992950439453125, ""width"": 49.135494232177734}",2024-01-17 10:41:56.288000+00:00,"[{""time"": ""2024-01-17 10:41:24.088000+00:00"", ""center"": {""x"": 135.1515909576416, ""y"": 116.73497993469238}}]","{""x"": 227.0, ""y"": 8.0, ""height"": 22.0, ""width"": 10.0}",2024-01-17 10:41:57.788000+00:00,"[{""time"": ""2024-01-17 10:41:24.888000+00:00"", ""center"": {""x"": 100.718, ""y"": 130.052}}, {""time"": ""2024-01-17 10:41:41.688000+00:00"", ""center"": {""x"": 89.135, ""y"": 126.885}}, {""time"": ""2024-01-17 10:41:48.988000+00:00"", ""center"": {""x"": 107.885, ""y"": 121.385}}]"
769,10269152,Videos/20240117/10269152/ai/C22_S20240117105606000_E20240117105706000.mp4,22,"{""x"": 289.0, ""y"": 322.0, ""height"": 58.0, ""width"": 34.0}",2024-01-17 10:56:11+00:00,TRUE,"{""x"": 252.8641357421875, ""y"": 0.0, ""height"": 41.57598876953125, ""width"": 39.017398834228516}",2024-01-17 10:56:15.800000+00:00,[],"{""x"": 297.0, ""y"": 1.0, ""height"": 31.0, ""width"": 18.0}",2024-01-17 10:56:17.400000+00:00,[]
770,10263914,Videos/20240117/10263914/ai/C15_S20240117090001700_E20240117090101700.mp4,15,"{""x"": 238.0, ""y"": 274.0, ""height"": 20.0, ""width"": 45.0}",2024-01-17 09:00:06.700000+00:00,TRUE,"{""x"": 149.80349731445312, ""y"": 108.8235855102539, ""height"": 31.663253784179688, ""width"": 40.01129913330078}",2024-01-17 09:00:26.200000+00:00,"[{""time"": ""2024-01-17 09:00:05.900000+00:00"", ""center"": {""x"": 199.05419845581054, ""y"": 126.31242065429687}}]","{""x"": 12.0, ""y"": 197.0, ""height"": 13.0, ""width"": 10.0}",2024-01-17 09:00:33.500000+00:00,"[{""time"": ""2024-01-17 09:00:21.200000+00:00"", ""center"": {""x"": 200.846, ""y"": 70.867}}]"
771,10269190,Videos/20240117/10269190/ai/C22_S20240117105306800_E20240117105406800.mp4,22,"{""x"": 424.0, ""y"": 340.0, ""height"": 12.0, ""width"": 9.0}",2024-01-17 10:53:11.800000+00:00,TRUE,"{""x"": 485.351806640625, ""y"": 124.86624145507812, ""height"": 40.14593505859375, ""width"": 29.640823364257812}",2024-01-17 10:54:06.700000+00:00,"[{""time"": ""2024-01-17 10:53:08.400000+00:00"", ""center"": {""x"": 514.0271630859374, ""y"": 328.81084716796875}}, {""time"": ""2024-01-17 10:53:31.200000+00:00"", ""center"": {""x"": 485.4189764404297, ""y"": 185.3010954284668}}]","{""x"": 472.0, ""y"": 187.0, ""height"": 26.0, ""width"": 25.0}",2024-01-17 10:54:06.800000+00:00,"[{""time"": ""2024-01-17 10:53:21.400000+00:00"", ""center"": {""x"": 536.234, ""y"": 319.951}}]"
772,10268872,Videos/20240117/10268872/ai/C2_S20240117104152788_E20240117104252788.mp4,2,"{""x"": 184.0, ""y"": 288.0, ""height"": 29.0, ""width"": 11.0}",2024-01-17 10:41:57.788000+00:00,TRUE,"{""x"": 311.29425048828125, ""y"": 0.0, ""height"": 34.69012451171875, ""width"": 29.892887115478516}",2024-01-17 10:42:02.188000+00:00,[],"{""x"": 447.0, ""y"": 4.0, ""height"": 28.0, ""width"": 13.0}",2024-01-17 10:42:03.088000+00:00,[]
773,10269183,Videos/20240117/10269183/ai/C21_S20240117104500400_E20240117104600400.mp4,21,"{""x"": 331.0, ""y"": 302.0, ""height"": 12.0, ""width"": 17.0}",2024-01-17 10:45:05.400000+00:00,TRUE,"{""x"": 441.9515686035156, ""y"": 0.0, ""height"": 36.780303955078125, ""width"": 25.47127342224121}",2024-01-17 10:45:31.500000+00:00,[],"{""x"": 444.0, ""y"": 18.0, ""height"": 16.0, ""width"": 8.0}",2024-01-17 10:45:33.300000+00:00,"[{""time"": ""2024-01-17 10:45:11.800000+00:00"", ""center"": {""x"": 234.947, ""y"": 297.731}}, {""time"": ""2024-01-17 10:45:20.700000+00:00"", ""center"": {""x"": 243.947, ""y"": 301.064}}]"
774,10269213,Videos/20240117/10269213/ai/C8_S20240117105144200_E20240117105244200.mp4,8,"{""x"": 150.0, ""y"": 45.0, ""height"": 35.0, ""width"": 17.0}",2024-01-17 10:51:49.200000+00:00,TRUE,"{""x"": 88.33612060546875, ""y"": 185.03799438476562, ""height"": 47.08128356933594, ""width"": 22.566452026367188}",2024-01-17 10:52:44.100000+00:00,"[{""time"": ""2024-01-17 10:51:46+00:00"", ""center"": {""x"": 146.4879206085205, ""y"": 61.09010356903076}}, {""time"": ""2024-01-17 10:52:17+00:00"", ""center"": {""x"": 146.57154518127442, ""y"": 90.72260749816894}}, {""time"": ""2024-01-17 10:52:33.500000+00:00"", ""center"": {""x"": 130.78634773254396, ""y"": 191.17289657592772}}]","{""x"": 148.0, ""y"": 172.0, ""height"": 46.0, ""width"": 35.0}",2024-01-17 10:52:44.200000+00:00,"[{""time"": ""2024-01-17 10:51:57.300000+00:00"", ""center"": {""x"": 112.124, ""y"": 53.693}}, {""time"": ""2024-01-17 10:52:01+00:00"", ""center"": {""x"": 119.291, ""y"": 55.026}}, {""time"": ""2024-01-17 10:52:05.300000+00:00"", ""center"": {""x"": 126.791, ""y"": 50.193}}, {""time"": ""2024-01-17 10:52:13.500000+00:00"", ""center"": {""x"": 102.124, ""y"": 121.36}}, {""time"": ""2024-01-17 10:52:22.900000+00:00"", ""center"": {""x"": 107.957, ""y"": 121.36}}, {""time"": ""2024-01-17 10:52:35.600000+00:00"", ""center"": {""x"": 100.874, ""y"": 191.943}}, {""time"": ""2024-01-17 10:52:41.600000+00:00"", ""center"": {""x"": 117.207, ""y"": 192.443}}]"
775,10269152,Videos/20240117/10269152/ai/C23_S20240117105612400_E20240117105712400.mp4,23,"{""x"": 239.0, ""y"": 304.0, ""height"": 59.0, ""width"": 28.0}",2024-01-17 10:56:17.400000+00:00,TRUE,"{""x"": 226.303955078125, ""y"": 0.0, ""height"": 39.243865966796875, ""width"": 37.06865692138672}",2024-01-17 10:56:21+00:00,[],"{""x"": 267.0, ""y"": 5.0, ""height"": 62.0, ""width"": 38.0}",2024-01-17 10:56:22.300000+00:00,[]
